date,gt_value
2020-01-01,62655
2020-01-16,71529
2020-02-01,71854
2020-02-16,45896
2020-03-01,13566
2020-03-16,79041
2020-04-01,68451
2020-04-16,835
2020-05-01,23133
2020-05-16,18563
2020-06-01,25507
2020-06-16,23403
2020-07-01,20552
2020-07-16,96500
2020-08-01,22179
2020-08-16,50591
2020-09-01,31694
2020-09-16,27083
2020-10-01,4795
2020-10-16,3249
2020-11-01,12177
2020-11-16,88136
2020-12-01,9221
2020-12-16,83430
2021-01-01,63686
2021-01-16,72761
2021-02-01,3167
2021-02-16,76884
2021-03-01,2390
2021-03-16,2367
2021-04-01,2267
2021-04-16,1840
2021-05-01,1211
2021-05-16,2023
2021-06-01,25973
2021-06-16,19756
2021-07-01,17204
2021-07-16,7236
2021-08-01,1747
2021-08-16,5962
2021-09-01,1678
2021-09-16,3564
2021-10-01,1439
2021-10-16,5619
2021-11-01,1855
2021-11-16,5266
2021-12-01,3935
2021-12-16,58333
