date,gt_value
2020-01-01,126431
2020-01-16,97838
2020-02-01,126732
2020-02-16,73305
2020-03-01,123918
2020-03-16,75648
2020-04-01,93234
2020-04-16,61507
2020-05-01,77360
2020-05-16,52800
2020-06-01,51189
2020-06-16,49758
2020-07-01,86765
2020-07-16,48558
2020-08-01,62031
2020-08-16,34326
2020-09-01,43048
2020-09-16,72796
2020-10-01,28065
2020-10-16,39068
2020-11-01,103644
2020-11-16,104682
2020-12-01,103627
2020-12-16,68616
2021-01-01,85778
2021-01-16,117749
2021-02-01,90810
2021-02-16,38690
2021-03-01,70500
2021-03-16,32260
2021-04-01,77575
2021-04-16,73387
2021-05-01,80406
2021-05-16,95754
2021-06-01,13412
2021-06-16,13435
2021-07-01,25104
2021-07-16,19542
2021-08-01,70747
2021-08-16,34536
2021-09-01,65146
2021-09-16,36177
2021-10-01,43676
2021-10-16,49098
2021-11-01,61582
2021-11-16,60965
2021-12-01,34623
2021-12-16,54499
