date,gt_value
2020-01-01,8103
2020-01-16,36923
2020-02-01,20511
2020-02-16,5075
2020-03-01,6336
2020-03-16,28969
2020-04-01,11431
2020-04-16,20813
2020-05-01,3137
2020-05-16,2475
2020-06-01,10963
2020-06-16,220
2020-07-01,2236
2020-07-16,2604
2020-08-01,6828
2020-08-16,22111
2020-09-01,20904
2020-09-16,30486
2020-10-01,22810
2020-10-16,8945
2020-11-01,227
2020-11-16,5522
2020-12-01,28157
2020-12-16,17784
2021-01-01,13984
2021-01-16,3986
2021-02-01,6951
2021-02-16,10636
2021-03-01,14206
2021-03-16,22475
2021-04-01,10701
2021-04-16,8320
2021-05-01,41918
2021-05-16,22537
2021-06-01,17240
2021-06-16,7865
2021-07-01,3217
2021-07-16,7642
2021-08-01,11315
2021-08-16,3704
2021-09-01,22332
2021-09-16,14134
2021-10-01,31936
2021-10-16,6011
2021-11-01,21601
2021-11-16,8883
2021-12-01,9275
2021-12-16,10970
