date,gt_value
2020-01-01,25144
2020-01-16,50311
2020-02-01,8720
2020-02-16,50505
2020-03-01,54322
2020-03-16,17533
2020-04-01,49714
2020-04-16,33817
2020-05-01,8598
2020-05-16,43632
2020-06-01,27872
2020-06-16,23575
2020-07-01,14907
2020-07-16,75740
2020-08-01,4663
2020-08-16,26278
2020-09-01,7527
2020-09-16,34887
2020-10-01,8249
2020-10-16,7734
2020-11-01,74374
2020-11-16,57933
2020-12-01,7676
2020-12-16,52170
2021-01-01,21981
2021-01-16,21229
2021-02-01,8780
2021-02-16,14539
2021-03-01,4289
2021-03-16,3175
2021-04-01,3895
2021-04-16,7352
2021-05-01,6637
2021-05-16,6604
2021-06-01,30514
2021-06-16,2386
2021-07-01,25297
2021-07-16,1868
2021-08-01,27059
2021-08-16,5780
2021-09-01,884
2021-09-16,8664
2021-10-01,3176
2021-10-16,4160
2021-11-01,4183
2021-11-16,3265
2021-12-01,2753
2021-12-16,4821
