date,gt_value
2020-01-01,69375
2020-01-16,14139
2020-02-01,76468
2020-02-16,84317
2020-03-01,25483
2020-03-16,52943
2020-04-01,74298
2020-04-16,1766
2020-05-01,66354
2020-05-16,42375
2020-06-01,29502
2020-06-16,65699
2020-07-01,49351
2020-07-16,33232
2020-08-01,36913
2020-08-16,24395
2020-09-01,5143
2020-09-16,28909
2020-10-01,10166
2020-10-16,10693
2020-11-01,116338
2020-11-16,50937
2020-12-01,6105
2020-12-16,16480
2021-01-01,55885
2021-01-16,31727
2021-02-01,11283
2021-02-16,49841
2021-03-01,3532
2021-03-16,5708
2021-04-01,4118
2021-04-16,1748
2021-05-01,3438
2021-05-16,5666
2021-06-01,25871
2021-06-16,7517
2021-07-01,18317
2021-07-16,12694
2021-08-01,4476
2021-08-16,25169
2021-09-01,23560
2021-09-16,10052
2021-10-01,6966
2021-10-16,12554
2021-11-01,9303
2021-11-16,28600
2021-12-01,7321
2021-12-16,77987
