date,Area_Sum
2020-01-01,1483851300
2020-01-16,2260060000
2020-02-01,847375000
2020-02-16,2520052800
2020-03-01,2787169700
2020-03-16,1168402500
2020-04-01,2246782900
2020-04-16,1630357200
2020-05-01,602016400
2020-05-16,2645808500
2020-06-01,1591003700
2020-06-16,1240812800
2020-07-01,1052140700
2020-07-16,4624925100
2020-08-01,279203200
2020-08-16,1486374800
2020-09-01,681515700
2020-09-16,1847704300
2020-10-01,763971800
2020-10-16,449490500
2020-11-01,3079273100
2020-11-16,2726464500
2020-12-01,745607200
2020-12-16,2378903000
2021-01-01,1427598100
2021-01-16,1415168200
2021-02-01,598463200
2021-02-16,1108460300
2021-03-01,270683200
2021-03-16,205445500
2021-04-01,257820900
2021-04-16,413023800
2021-05-01,437459000
2021-05-16,434492800
2021-06-01,2190012200
2021-06-16,130478700
2021-07-01,1886771800
2021-07-16,170335500
2021-08-01,1268388900
2021-08-16,328800300
2021-09-01,63293700
2021-09-16,424807600
2021-10-01,205777600
2021-10-16,257791900
2021-11-01,204012400
2021-11-16,222102900
2021-12-01,233893500
2021-12-16,252717500
