date,Area_Sum
2020-01-01,5484569000
2020-01-16,7927455600
2020-02-01,4784800800
2020-02-16,3896165200
2020-03-01,6021768200
2020-03-16,2949113600
2020-04-01,5741541000
2020-04-16,4627486500
2020-05-01,4644413500
2020-05-16,6512925000
2020-06-01,3427087300
2020-06-16,3842903000
2020-07-01,1826751600
2020-07-16,2164663800
2020-08-01,2836585100
2020-08-16,3102196100
2020-09-01,3534373900
2020-09-16,2893238900
2020-10-01,2423584900
2020-10-16,3057657200
2020-11-01,4039171800
2020-11-16,4981195300
2020-12-01,3902254100
2020-12-16,3244174700
2021-01-01,3102214200
2021-01-16,5976026800
2021-02-01,5621534700
2021-02-16,3812736300
2021-03-01,4942933000
2021-03-16,3747041100
2021-04-01,3152744800
2021-04-16,3211021700
2021-05-01,3962152700
2021-05-16,3114580600
2021-06-01,2899007400
2021-06-16,2637823600
2021-07-01,4275026300
2021-07-16,2607589000
2021-08-01,2571182400
2021-08-16,2284403800
2021-09-01,2758461600
2021-09-16,2894102700
2021-10-01,1921349900
2021-10-16,2888744500
2021-11-01,3023337700
2021-11-16,3255871500
2021-12-01,4669856900
2021-12-16,3182204700
