date,Area_Sum
2020-01-01,3474376900
2020-01-16,4331119200
2020-02-01,3190268300
2020-02-16,2614036000
2020-03-01,1103164400
2020-03-16,3414604900
2020-04-01,3181441200
2020-04-16,86085500
2020-05-01,1359439700
2020-05-16,1352298500
2020-06-01,1219060400
2020-06-16,1009985100
2020-07-01,1344843500
2020-07-16,5225782200
2020-08-01,1393545100
2020-08-16,2949844300
2020-09-01,1905917300
2020-09-16,1583366000
2020-10-01,407107400
2020-10-16,276855600
2020-11-01,1028996800
2020-11-16,5247722600
2020-12-01,1216908800
2020-12-16,5628442900
2021-01-01,4632556800
2021-01-16,4702868500
2021-02-01,665563500
2021-02-16,3317030100
2021-03-01,256061100
2021-03-16,150361900
2021-04-01,393318300
2021-04-16,152004500
2021-05-01,121473100
2021-05-16,160807000
2021-06-01,1603315300
2021-06-16,1136219000
2021-07-01,855658000
2021-07-16,444942300
2021-08-01,155977900
2021-08-16,279807700
2021-09-01,98752800
2021-09-16,236127600
2021-10-01,120610600
2021-10-16,263517400
2021-11-01,112737900
2021-11-16,411460700
2021-12-01,245048000
2021-12-16,3943763700
