date,Area_Sum
2020-01-01,6899258000
2020-01-16,6314676600
2020-02-01,7695539900
2020-02-16,4442633800
2020-03-01,7216242200
2020-03-16,4741085000
2020-04-01,5124750400
2020-04-16,3884328500
2020-05-01,4565446700
2020-05-16,2971475600
2020-06-01,2860766500
2020-06-16,2829796900
2020-07-01,4895944100
2020-07-16,3037798200
2020-08-01,3896635100
2020-08-16,2289304200
2020-09-01,2467543100
2020-09-16,4348983600
2020-10-01,2011241600
2020-10-16,2600993000
2020-11-01,7288131300
2020-11-16,5983189800
2020-12-01,6018168200
2020-12-16,4608228500
2021-01-01,5670328600
2021-01-16,7393855400
2021-02-01,6240832100
2021-02-16,2628608300
2021-03-01,4515227800
2021-03-16,2327431100
2021-04-01,4780832200
2021-04-16,4912769500
2021-05-01,4921277300
2021-05-16,5698479600
2021-06-01,742604600
2021-06-16,872244600
2021-07-01,1539777800
2021-07-16,1342075300
2021-08-01,4089347600
2021-08-16,2130012300
2021-09-01,3901994500
2021-09-16,2183079500
2021-10-01,2265766300
2021-10-16,2899864300
2021-11-01,4272674500
2021-11-16,4087668300
2021-12-01,2520250600
2021-12-16,3654827700
