date,Area_Sum
2020-01-01,532451400
2020-01-16,2954974000
2020-02-01,1765822900
2020-02-16,559853200
2020-03-01,518158200
2020-03-16,2002329400
2020-04-01,762940300
2020-04-16,1422758000
2020-05-01,278776300
2020-05-16,201928800
2020-06-01,723654900
2020-06-16,36938800
2020-07-01,159167200
2020-07-16,224616700
2020-08-01,440898400
2020-08-16,1531811600
2020-09-01,1394591500
2020-09-16,1851471100
2020-10-01,1410534000
2020-10-16,583319900
2020-11-01,63983800
2020-11-16,426489000
2020-12-01,1698014900
2020-12-16,1286525200
2021-01-01,988924400
2021-01-16,319771400
2021-02-01,563445700
2021-02-16,788201900
2021-03-01,1069941000
2021-03-16,1782307300
2021-04-01,779118600
2021-04-16,637729200
2021-05-01,2980701700
2021-05-16,1865012900
2021-06-01,1176366600
2021-06-16,534453900
2021-07-01,246931100
2021-07-16,513662200
2021-08-01,826978600
2021-08-16,267967900
2021-09-01,1314847300
2021-09-16,968726100
2021-10-01,1736378800
2021-10-16,402706500
2021-11-01,1388507000
2021-11-16,727736300
2021-12-01,830717700
2021-12-16,886705300
